"165";"148";"13";NULL;NULL
"166";"149";"13";NULL;NULL
"167";"150";"13";NULL;NULL
"168";"151";"12";NULL;NULL
"169";"152";"12";NULL;NULL
"170";"153";"13";NULL;NULL
"171";"153";"13";NULL;NULL
"172";"153";"22";NULL;NULL
"173";"154";"12";NULL;NULL
"174";"154";"13";NULL;NULL
"175";"155";"12";NULL;NULL
"176";"156";"23";NULL;NULL
"177";"157";"12";NULL;NULL
"178";"158";"12";NULL;NULL
"179";"159";"13";NULL;NULL
"180";"160";"6";NULL;NULL
"181";"161";"20";NULL;NULL
"182";"162";"13";NULL;NULL
"183";"163";"24";NULL;NULL
"184";"164";"14";NULL;NULL
"185";"165";"12";NULL;NULL
"186";"166";"12";NULL;NULL
"187";"166";"16";NULL;NULL
"188";"167";"12";NULL;NULL
"189";"168";"12";NULL;NULL
"190";"169";"12";NULL;NULL
"191";"170";"14";NULL;NULL
